station_id,station_name,latitude,longitude,address,area,zone,station_type,environment_type,pollutants_measured,operator,source,installation_date,status,last_updated,data_quality
BLR_ST01,Silk Board Junction,12.9176,77.6238,"Central Silk Board, Hosur Road",BTM / HSR / Silk Board,South Zone,Traffic / Kerbside,High Traffic Density,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,Continuous Ambient Air Quality Monitoring Station (CAAQMS),2019-03-15,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST02,BTM Layout CAAQMS,12.9135,77.6101,"BTM 2nd Stage, Near Kuvempu Nagar",BTM Layout,South Zone,Residential / Commercial,Urban Mixed,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2018-07-20,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST03,Peenya Industrial Area,13.0285,77.5197,"Peenya 2nd Stage, Industrial Estate",Peenya,West Zone,Industrial,Heavy Industrial & Manufacturing,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2017-11-10,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST04,Hebbal CAAQMS,13.0358,77.597,"Hebbal Flyover Junction, Bellary Road",Hebbal,North Zone,Traffic / Arterial,Airport Highway Corridor,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2019-01-22,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST05,Whitefield Export Promotion Industrial Park,12.9815,77.7289,"EPIP Zone, Near ITPL, Whitefield",Whitefield / ITPL,Mahadevapura Zone,Commercial / IT Corridor,Tech Parks & Metro Construction,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2020-04-18,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST06,Indiranagar 100ft Road,12.9784,77.6408,"100 Feet Road, HAL 2nd Stage",Indiranagar,East Zone,Commercial / Residential,High Commercial Activity,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2020-08-12,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST07,Jayanagar 4th Block,12.9299,77.5826,Near Jayanagar Shopping Complex,Jayanagar,South Zone,Residential,Green Canopy Residential,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2018-02-14,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST08,City Railway Station / Majestic,12.9778,77.5713,"KSR Bengaluru Central Station, Majestic",Majestic / Gandhi Nagar,Central Zone,Transit Hub / Traffic,Major Bus & Rail Interchange,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",CPCB / AeroPulse Demo,CAAQMS,2017-05-19,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST09,Saneguruvanahalli (Basaveshwaranagar),12.9912,77.5456,"Saneguruvanahalli, Basaveshwaranagar",Basaveshwaranagar,West Zone,Residential,Dense Residential,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2019-09-29,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST10,BWSSB Kadabeesanahalli (Outer Ring Road),12.9352,77.6894,Kadabeesanahalli ORR Water Treatment Area,Bellandur / Kadabeesanahalli,Mahadevapura Zone,Traffic / Arterial,High Traffic & Tech Corridor,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2021-03-10,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST11,Hombegowda Nagar (Lalbagh Vicinity),12.9388,77.5936,"Hombegowda Nagar, Near Lalbagh South Gate",Lalbagh / Wilson Garden,South Zone,Urban Background,Botanical Garden Border,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2018-10-15,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST12,Yelahanka New Town,13.1007,77.5963,"Yelahanka 4th Phase, Near NES",Yelahanka,Yelahanka Zone,Residential / Peri-Urban,Open Suburban Canopy,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2020-01-20,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST13,Electronic City Phase 1,12.8452,77.6602,Electronics City Elevated Expressway End,Electronic City,Bommanahalli / Anekal,Commercial / Expressway,Elevated Highway & IT Campus,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2021-07-01,Active,2026-09-01 09:30:00,SIMULATED
BLR_ST14,Mysore Road / Nayandahalli,12.9463,77.5255,"Nayandahalli Junction, Mysore Road",Mysore Road / Rajarajeshwari Nagar,RR Nagar Zone,Traffic / Industrial Border,Highway Transit & Commercial,"PM2.5, PM10, NO2, SO2, CO, O3, NH3",KSPCB / AeroPulse Demo,CAAQMS,2019-12-05,Active,2026-09-01 09:30:00,SIMULATED
