section_id,question_key,question_title,input_type,options_or_range,exposure_implication,risk_weight_factor
SEC_01,daily_outdoor_hours,How many hours do you spend outdoors daily?,number_slider,"0, 12, 1","0-1 hr (Minimal), 2-3 hrs (Moderate), 4-6 hrs (High), 6+ hrs (Extensive)",1.25
SEC_01,outdoor_exercise_time,When do you typically exercise outdoors?,select_single,"none, morning_rush (6-9 AM), midday (11 AM - 3 PM), evening_rush (6-9 PM), late_night (9-11 PM)",Morning & Evening overlap with high diurnal pollution peaks,1.3
SEC_02,primary_commute_mode,What is your primary mode of daily transportation?,select_single,"metro_train, car_ac, bus_public, auto_rickshaw, two_wheeler_motorcycle, walking_cycling",Two-wheelers & open auto-rickshaws face 3.5x higher particulate inhalation than AC Metro/Car,1.45
SEC_02,commute_duration_minutes,What is your typical one-way commute duration?,number_slider,"0, 120, 5",Minutes spent navigating Bengaluru traffic corridors,1.2
SEC_03,residence_traffic_proximity,How close is your home to a major arterial road or highway?,select_single,"adjacent (<50m), close (50-200m), moderate (200-500m), far (>500m)",Corridors within 100m have ~40% higher road dust and tailpipe concentrations,1.35
SEC_03,indoor_air_purifier,Do you use an HEPA air purifier at home or work?,select_single,"yes_regularly, yes_occasionally, no_none",HEPA filtration reduces indoor PM2.5 exposure by 65-80%,0.65
SEC_03,indoor_ventilation_habits,When do you typically open windows for ventilation?,select_single,"afternoon_clean_window, morning_evening_peak, all_day_open, always_closed",Opening windows during morning rush increases indoor particulate settling,1.15
SEC_04,cooking_fuel_environment,What is your primary household cooking setup?,select_single,"lpg_piped_gas_with_exhaust, lpg_without_chimney, electric_induction, biomass_wood_coal",Indoor cooking without mechanical exhaust contributes to localized fine particulates,1.2
SEC_04,indoor_smoking_exposure,Is there regular indoor smoking in your living environment?,select_single,"none, occasional, regular",Environmental tobacco smoke contains concentrated fine particulates & PAHs,1.5
SEC_05,voluntary_sensitivity_category,Voluntarily select any applicable health/life stages (Optional),multi_select,"children_under_12, elderly_65_plus, pregnancy, asthma_respiratory_sensitivity, cardiovascular_sensitivity, none_above",Higher physiological sensitivity warrants stricter exposure management; not used for clinical diagnosis,1.4
